"";"Banque";"Indicateur";"Terme";"Num_Terme";"Annee";"Rubrique";"Information";"Montant"
"219";"Attijari";"Activite";"Trimestre";3;2021;"PR1";"Arrete_Reference";445890
"220";"Attijari";"Activite";"Trimestre";3;2021;"PR1";"Annee_Reference";583156
"221";"Attijari";"Activite";"Trimestre";3;2021;"PR2";"Trimestre_Actuel";32076
"222";"Attijari";"Activite";"Trimestre";3;2021;"PR2";"Trimestre_Reference";29310
"223";"Attijari";"Activite";"Trimestre";3;2021;"PR2";"Arrete_Actuel";94587
"224";"Attijari";"Activite";"Trimestre";3;2021;"PR2";"Arrete_Reference";77951
"225";"Attijari";"Activite";"Trimestre";3;2021;"PR2";"Annee_Reference";108321
"226";"Attijari";"Activite";"Trimestre";3;2021;"PR3_4";"Trimestre_Actuel";37465
"227";"Attijari";"Activite";"Trimestre";3;2021;"PR3_4";"Trimestre_Reference";31249
"228";"Attijari";"Activite";"Trimestre";3;2021;"PR3_4";"Arrete_Actuel";111880
"229";"Attijari";"Activite";"Trimestre";3;2021;"PR3_4";"Arrete_Reference";94746
"230";"Attijari";"Activite";"Trimestre";3;2021;"PR3_4";"Annee_Reference";121236
"231";"Attijari";"Activite";"Trimestre";3;2021;"CEB";"Trimestre_Actuel";74504
"232";"Attijari";"Activite";"Trimestre";3;2021;"CEB";"Trimestre_Reference";79430
"233";"Attijari";"Activite";"Trimestre";3;2021;"CEB";"Arrete_Actuel";223154
"234";"Attijari";"Activite";"Trimestre";3;2021;"CEB";"Arrete_Reference";251966
"235";"Attijari";"Activite";"Trimestre";3;2021;"CEB";"Annee_Reference";325532
"236";"Attijari";"Activite";"Trimestre";3;2021;"CH1";"Trimestre_Actuel";71788
"237";"Attijari";"Activite";"Trimestre";3;2021;"CH1";"Trimestre_Reference";75543
"238";"Attijari";"Activite";"Trimestre";3;2021;"CH1";"Arrete_Actuel";214659
"239";"Attijari";"Activite";"Trimestre";3;2021;"CH1";"Arrete_Reference";242023
"240";"Attijari";"Activite";"Trimestre";3;2021;"CH1";"Annee_Reference";313739
"241";"Attijari";"Activite";"Trimestre";3;2021;"CH2";"Trimestre_Actuel";2716
"242";"Attijari";"Activite";"Trimestre";3;2021;"CH2";"Trimestre_Reference";3887
"243";"Attijari";"Activite";"Trimestre";3;2021;"CH2";"Arrete_Actuel";8495
"244";"Attijari";"Activite";"Trimestre";3;2021;"CH2";"Arrete_Reference";9943
"245";"Attijari";"Activite";"Trimestre";3;2021;"CH2";"Annee_Reference";11793
"246";"Attijari";"Activite";"Trimestre";3;2021;"PNB";"Trimestre_Actuel";127579
"247";"Attijari";"Activite";"Trimestre";3;2021;"PNB";"Trimestre_Reference";121832
"248";"Attijari";"Activite";"Trimestre";3;2021;"PNB";"Arrete_Actuel";386625
"249";"Attijari";"Activite";"Trimestre";3;2021;"PNB";"Arrete_Reference";366621
"250";"Attijari";"Activite";"Trimestre";3;2021;"PNB";"Annee_Reference";487180
"251";"Attijari";"Activite";"Trimestre";3;2021;"PR7";"Trimestre_Actuel";2198
"252";"Attijari";"Activite";"Trimestre";3;2021;"PR7";"Trimestre_Reference";2126
"253";"Attijari";"Activite";"Trimestre";3;2021;"PR7";"Arrete_Actuel";6227
"254";"Attijari";"Activite";"Trimestre";3;2021;"PR7";"Arrete_Reference";7233
"255";"Attijari";"Activite";"Trimestre";3;2021;"PR7";"Annee_Reference";10217
"256";"Attijari";"Activite";"Trimestre";3;2021;"CH6_7";"Trimestre_Actuel";79130
"257";"Attijari";"Activite";"Trimestre";3;2021;"CH6_7";"Trimestre_Reference";54330
"258";"Attijari";"Activite";"Trimestre";3;2021;"CH6_7";"Arrete_Actuel";194067
"259";"Attijari";"Activite";"Trimestre";3;2021;"CH6_7";"Arrete_Reference";162359
"260";"Attijari";"Activite";"Trimestre";3;2021;"CH6_7";"Annee_Reference";216887
"261";"Attijari";"Activite";"Trimestre";3;2021;"CH6";"Trimestre_Actuel";62012
"262";"Attijari";"Activite";"Trimestre";3;2021;"CH6";"Trimestre_Reference";38581
"263";"Attijari";"Activite";"Trimestre";3;2021;"CH6";"Arrete_Actuel";142504
"264";"Attijari";"Activite";"Trimestre";3;2021;"CH6";"Arrete_Reference";113909
"265";"Attijari";"Activite";"Trimestre";3;2021;"CH6";"Annee_Reference";153828
"266";"Attijari";"Activite";"Trimestre";3;2021;"CH7";"Trimestre_Actuel";17118
"267";"Attijari";"Activite";"Trimestre";3;2021;"CH7";"Trimestre_Reference";15749
"268";"Attijari";"Activite";"Trimestre";3;2021;"CH7";"Arrete_Actuel";51563
"269";"Attijari";"Activite";"Trimestre";3;2021;"CH7";"Arrete_Reference";48450
"270";"Attijari";"Activite";"Trimestre";3;2021;"CH7";"Annee_Reference";63058
"271";"Attijari";"Activite";"Trimestre";3;2021;"AC4_5";"Trimestre_Actuel";NA
"272";"Attijari";"Activite";"Trimestre";3;2021;"AC4_5";"Trimestre_Reference";NA
"273";"Attijari";"Activite";"Trimestre";3;2021;"AC4_5";"Arrete_Actuel";1573183
"274";"Attijari";"Activite";"Trimestre";3;2021;"AC4_5";"Arrete_Reference";1256452
"275";"Attijari";"Activite";"Trimestre";3;2021;"AC4_5";"Annee_Reference";1150505
"276";"Attijari";"Activite";"Trimestre";3;2021;"AC4";"Trimestre_Actuel";NA
"277";"Attijari";"Activite";"Trimestre";3;2021;"AC4";"Trimestre_Reference";NA
"278";"Attijari";"Activite";"Trimestre";3;2021;"AC4";"Arrete_Actuel";319060
"279";"Attijari";"Activite";"Trimestre";3;2021;"AC4";"Arrete_Reference";273191
"280";"Attijari";"Activite";"Trimestre";3;2021;"AC4";"Annee_Reference";146587
"281";"Attijari";"Activite";"Trimestre";3;2021;"AC5";"Trimestre_Actuel";NA
"282";"Attijari";"Activite";"Trimestre";3;2021;"AC5";"Trimestre_Reference";NA
"283";"Attijari";"Activite";"Trimestre";3;2021;"AC5";"Arrete_Actuel";1254123
"284";"Attijari";"Activite";"Trimestre";3;2021;"AC5";"Arrete_Reference";983262
"285";"Attijari";"Activite";"Trimestre";3;2021;"AC5";"Annee_Reference";1003918
"286";"Attijari";"Activite";"Trimestre";3;2021;"AC3";"Trimestre_Actuel";NA
"287";"Attijari";"Activite";"Trimestre";3;2021;"AC3";"Trimestre_Reference";NA
"288";"Attijari";"Activite";"Trimestre";3;2021;"AC3";"Arrete_Actuel";6238057
"289";"Attijari";"Activite";"Trimestre";3;2021;"AC3";"Arrete_Reference";5895303
"290";"Attijari";"Activite";"Trimestre";3;2021;"AC3";"Annee_Reference";5979454
"291";"Attijari";"Activite";"Trimestre";3;2021;"PA3";"Trimestre_Actuel";NA
"292";"Attijari";"Activite";"Trimestre";3;2021;"PA3";"Trimestre_Reference";NA
"293";"Attijari";"Activite";"Trimestre";3;2021;"PA3";"Arrete_Actuel";8518749
"294";"Attijari";"Activite";"Trimestre";3;2021;"PA3";"Arrete_Reference";7969846
"295";"Attijari";"Activite";"Trimestre";3;2021;"PA3";"Annee_Reference";7972358
"296";"Attijari";"Activite";"Trimestre";3;2021;"DAV";"Trimestre_Actuel";NA
"297";"Attijari";"Activite";"Trimestre";3;2021;"DAV";"Trimestre_Reference";NA
"298";"Attijari";"Activite";"Trimestre";3;2021;"DAV";"Arrete_Actuel";4052380
"299";"Attijari";"Activite";"Trimestre";3;2021;"DAV";"Arrete_Reference";3762425
"300";"Attijari";"Activite";"Trimestre";3;2021;"DAV";"Annee_Reference";3704497
"301";"Attijari";"Activite";"Trimestre";3;2021;"Epargne";"Trimestre_Actuel";NA
"302";"Attijari";"Activite";"Trimestre";3;2021;"Epargne";"Trimestre_Reference";NA
"303";"Attijari";"Activite";"Trimestre";3;2021;"Epargne";"Arrete_Actuel";2747240
"304";"Attijari";"Activite";"Trimestre";3;2021;"Epargne";"Arrete_Reference";2528896
"305";"Attijari";"Activite";"Trimestre";3;2021;"Epargne";"Annee_Reference";2595827
"306";"Attijari";"Activite";"Trimestre";3;2021;"PA4";"Trimestre_Actuel";NA
"307";"Attijari";"Activite";"Trimestre";3;2021;"PA4";"Trimestre_Reference";NA
"308";"Attijari";"Activite";"Trimestre";3;2021;"PA4";"Arrete_Actuel";95025
"309";"Attijari";"Activite";"Trimestre";3;2021;"PA4";"Arrete_Reference";145354
"310";"Attijari";"Activite";"Trimestre";3;2021;"PA4";"Annee_Reference";134358
